date,channel_id,video_id,device_type,operating_system,traffic_source_type,traffic_source_detail,video_thumbnail_impressions,video_thumbnail_impressions_ctr
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,105,5,3,what-to-watch,7,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,101,2,4,UCiLmCoftZHWXSFuQlnEJSsQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,102,29,4,UCiLmCoftZHWXSFuQlnEJSsQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,104,5,4,UCiLmCoftZHWXSFuQlnEJSsQ,5,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,101,2,5,unknown,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,101,9,5,unknown,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,102,29,5,unknown,3,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,104,5,5,unknown,25,0.04
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,105,4,5,unknown,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,105,5,7,6rbhtpWvvKo,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,101,2,7,B75t0LqJUSg,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,105,5,7,D88Zd_OvaSs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,101,2,7,DdvR0LbYUjQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,101,2,7,EvoV01i7fRw,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,102,1,7,EvoV01i7fRw,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,102,4,7,EvoV01i7fRw,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,104,4,7,EvoV01i7fRw,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,104,5,7,EvoV01i7fRw,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,101,2,7,HgCgwKqeJBI,1,1
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,104,5,7,K4mQYWHpcUI,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,101,30,7,PiikNxCE5_Q,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,104,4,7,PmD_nggctn4,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,101,2,7,QOCBReR3VJQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,102,4,7,S4tXGHeKBHs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,104,5,7,S4tXGHeKBHs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,105,5,7,SlDTZdCoX7w,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,102,1,7,_l7l5BH4h_s,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,104,5,7,_l7l5BH4h_s,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,105,5,7,a1tQY33iFmM,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,102,29,7,dhys8ycR5Iw,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,104,5,7,dhys8ycR5Iw,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,105,5,7,g1GPX8SlOmU,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,104,5,7,lcTtcqjTLlI,1,1
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,2b_XBGYqJVU,104,5,7,oUVyHlXtdP0,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,4,3,what-to-watch,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,4,UCiLmCoftZHWXSFuQlnEJSsQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,29,4,UCiLmCoftZHWXSFuQlnEJSsQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,4,UCiLmCoftZHWXSFuQlnEJSsQ,11,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,19,5,unknown,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,29,5,unknown,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,5,unknown,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,7,-diBRfh5Uz8,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,29,7,1hl0SfyvmqI,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,7,2b_XBGYqJVU,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,5Hhi0wLZwfk,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,4,7,5sK83PN1E_g,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,7,6eROMnlHv8Q,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,4,7,8ALkr1540OQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,7,9SGVUi_eP9k,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,9SGVUi_eP9k,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,9TR_UfEx5LE,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,9Yh4pwlOgNo,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,9,7,9nUP8yzl7dM,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,7,B_T6lEX4u4Q,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,105,5,7,BjlzHeTBygU,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,19,7,CI6N5-oJfFk,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,7,CnMmQ1esFYI,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,7,D88Zd_OvaSs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,4,7,D88Zd_OvaSs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,D88Zd_OvaSs,7,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,105,5,7,D88Zd_OvaSs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,7,HgCgwKqeJBI,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,IbFFZQQpOx0,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,JSa-UWgWrFE,1,1
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,105,5,7,K4mQYWHpcUI,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,19,7,KM5AWFr_04o,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,29,7,LzFLjBxtS1w,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,4,7,Me2E_l8GZwk,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,105,5,7,Nxiwy6-IsFM,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,30,7,PiikNxCE5_Q,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,QuoIAcNc8jk,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,4,7,S4tXGHeKBHs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,S4tXGHeKBHs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,105,5,7,S_H_9NWpfWQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,1,7,SlDTZdCoX7w,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,4,7,SlDTZdCoX7w,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,4,7,V6em-gcJupE,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,31,7,VPca_E6_YTU,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,Vgwuc0C9UoQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,19,7,WOHGJ2_b3u4,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,WOYng9x-FAI,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,YYldccQr9Xs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,YsTCIsppXGM,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,4,7,Z4k6xU6SgOw,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,1,7,ZDaYw_5T57w,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,7,_l7l5BH4h_s,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,4,7,_l7l5BH4h_s,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,a9U4uap71ME,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,eotg_8L9-MA,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,fGCf0VrJhhc,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,gH9wGHoEi9A,1,1
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,7,iT_HnN3tBpw,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,7,k6OFu63Vlng,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,4,7,kCLlwiW_MTM,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,29,7,l5Hp3GQQCRI,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,n0I0wnZShh8,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,4,7,pPONF16ATGE,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,7,qViEeQmK0fg,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,9,7,r7CsZrgS98g,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,101,2,7,rSNhDgGJvPU,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,104,5,7,rwbjiXdmSRA,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,103,27,7,tWJtwIm1wpE,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,105,5,7,u_ujsgj3EpM,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,3AQw6eUmK58,102,4,7,vI7wmKyKuDI,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,5,3,/my_subscriptions,9,0.1111111111111111
